date,open,low,high,close,volume
2025-02-05 01:00:00,153.424,153.373,153.447,153.394,3819
2025-02-05 00:45:00,153.525,153.411,153.53,153.424,3927
2025-02-05 00:30:00,153.522,153.458,153.53,153.525,2762
2025-02-05 00:15:00,153.415,153.407,153.564,153.522,3581
2025-02-05 00:00:00,153.353,153.346,153.433,153.415,2720
2025-02-04 23:45:00,153.28,153.244,153.388,153.353,3243
2025-02-04 23:30:00,153.307,153.25,153.353,153.28,3501
2025-02-04 23:15:00,153.233,153.222,153.332,153.307,3755
2025-02-04 23:00:00,153.217,153.109,153.279,153.233,3924
2025-02-04 22:45:00,153.157,153.143,153.303,153.217,4248
2025-02-04 22:30:00,153.206,153.085,153.237,153.157,4532
2025-02-04 22:15:00,153.375,153.198,153.387,153.206,3731
2025-02-04 22:00:00,153.385,153.33,153.459,153.375,4770
2025-02-04 21:45:00,153.334,153.32,153.437,153.385,5269
2025-02-04 21:30:00,153.223,153.195,153.412,153.334,4879
2025-02-04 21:15:00,153.341,153.164,153.421,153.223,6514
2025-02-04 21:00:00,153.595,153.319,153.636,153.341,8013
2025-02-04 20:45:00,153.648,153.51,153.651,153.595,6305
2025-02-04 20:30:00,153.523,153.46,153.687,153.648,7145
2025-02-04 20:15:00,153.579,153.477,153.671,153.523,7873
2025-02-04 20:00:00,153.851,153.485,153.851,153.579,10073
2025-02-04 19:45:00,153.943,153.817,154.087,153.851,8172
2025-02-04 19:30:00,154.186,153.889,154.219,153.943,6514
2025-02-04 19:15:00,154.31,154.169,154.354,154.186,3705
2025-02-04 19:00:00,154.129,154.12,154.338,154.31,4272
2025-02-04 18:45:00,154.125,154.029,154.188,154.129,3347
2025-02-04 18:30:00,154.436,154.103,154.436,154.125,2299
2025-02-04 18:15:00,154.408,154.391,154.458,154.436,1425
2025-02-04 18:00:00,154.339,154.317,154.429,154.408,2116
2025-02-04 17:45:00,154.365,154.293,154.368,154.339,623
2025-02-04 17:30:00,154.355,154.349,154.385,154.365,93
2025-02-04 17:15:00,154.325,154.325,154.361,154.355,74
2025-02-04 17:00:00,154.321,154.304,154.326,154.325,77
2025-02-04 16:45:00,154.303,154.296,154.343,154.321,1390
2025-02-04 16:30:00,154.311,154.292,154.318,154.303,651
2025-02-04 16:15:00,154.287,154.287,154.33,154.311,922
2025-02-04 16:00:00,154.26,154.23,154.314,154.287,1372
2025-02-04 15:45:00,154.292,154.246,154.303,154.26,1825
2025-02-04 15:30:00,154.27,154.263,154.302,154.292,1197
2025-02-04 15:15:00,154.273,154.259,154.317,154.27,1659
2025-02-04 15:00:00,154.284,154.232,154.302,154.273,2595
2025-02-04 14:45:00,154.306,154.251,154.332,154.284,2766
2025-02-04 14:30:00,154.295,154.241,154.313,154.306,2712
2025-02-04 14:15:00,154.241,154.237,154.315,154.295,2716
2025-02-04 14:00:00,154.295,154.226,154.328,154.241,3871
2025-02-04 13:45:00,154.223,154.211,154.307,154.295,3194
2025-02-04 13:30:00,154.253,154.211,154.33,154.223,2950
2025-02-04 13:15:00,154.194,154.169,154.26,154.253,2895
2025-02-04 13:00:00,154.265,154.181,154.313,154.194,3591
2025-02-04 12:45:00,154.329,154.247,154.351,154.265,4329
2025-02-04 12:30:00,154.414,154.258,154.446,154.329,4498
2025-02-04 12:15:00,154.53,154.389,154.579,154.414,5715
2025-02-04 12:00:00,154.558,154.528,154.619,154.53,3090
2025-02-04 11:45:00,154.589,154.462,154.59,154.558,4588
2025-02-04 11:30:00,154.558,154.535,154.618,154.589,4671
2025-02-04 11:15:00,154.568,154.508,154.605,154.558,6089
2025-02-04 11:00:00,154.671,154.464,154.671,154.568,6919
2025-02-04 10:45:00,154.681,154.531,154.685,154.671,5615
2025-02-04 10:30:00,154.731,154.619,154.772,154.681,6961
2025-02-04 10:15:00,154.709,154.622,154.755,154.731,8447
2025-02-04 10:00:00,155.007,154.607,155.012,154.709,15596
2025-02-04 09:45:00,155.026,154.95,155.051,155.007,6236
2025-02-04 09:30:00,155.09,154.971,155.151,155.026,8027
2025-02-04 09:15:00,155.173,155.078,155.173,155.09,5725
2025-02-04 09:00:00,155.257,155.139,155.26,155.173,7547
2025-02-04 08:45:00,155.3,155.255,155.349,155.257,3484
2025-02-04 08:30:00,155.368,155.292,155.382,155.3,3272
2025-02-04 08:15:00,155.29,155.241,155.37,155.368,3216
2025-02-04 08:00:00,155.274,155.262,155.342,155.29,3731
2025-02-04 07:45:00,155.29,155.233,155.298,155.274,2831
2025-02-04 07:30:00,155.294,155.252,155.312,155.29,2949
2025-02-04 07:15:00,155.367,155.279,155.392,155.294,3006
2025-02-04 07:00:00,155.309,155.305,155.39,155.367,2758
2025-02-04 06:45:00,155.264,155.246,155.332,155.309,2598
2025-02-04 06:30:00,155.235,155.231,155.33,155.264,2000
2025-02-04 06:15:00,155.25,155.14,155.255,155.235,2660
2025-02-04 06:00:00,155.265,155.229,155.292,155.25,2560
2025-02-04 05:45:00,155.289,155.253,155.334,155.265,2508
2025-02-04 05:30:00,155.243,155.238,155.326,155.289,2955
2025-02-04 05:15:00,155.3,155.238,155.358,155.243,3028
2025-02-04 05:00:00,155.339,155.287,155.357,155.3,3780
2025-02-04 04:45:00,155.241,155.23,155.35,155.339,4033
2025-02-04 04:30:00,155.087,155.061,155.252,155.241,3334
2025-02-04 04:15:00,155.189,155.084,155.194,155.087,4172
2025-02-04 04:00:00,155.241,155.145,155.318,155.189,4670
2025-02-04 03:45:00,155.191,155.123,155.268,155.241,4789
2025-02-04 03:30:00,155.345,155.157,155.372,155.191,5194
2025-02-04 03:15:00,155.468,155.335,155.519,155.345,7656
2025-02-04 03:00:00,155.322,155.283,155.472,155.468,5876
2025-02-04 02:45:00,155.171,155.167,155.342,155.322,3362
2025-02-04 02:30:00,155.275,155.164,155.353,155.171,3891
2025-02-04 02:15:00,155.323,155.226,155.332,155.275,3354
2025-02-04 02:00:00,155.216,155.191,155.325,155.323,3618
2025-02-04 01:45:00,155.179,155.154,155.24,155.216,3275
2025-02-04 01:30:00,155.359,155.178,155.36,155.179,4170
2025-02-04 01:15:00,155.262,155.23,155.387,155.359,3648
2025-02-04 01:00:00,155.245,155.192,155.292,155.262,3596
2025-02-04 00:45:00,155.186,155.186,155.271,155.245,4451
2025-02-04 00:30:00,155.056,155.04,155.186,155.186,4780
